DVD_Title,Genre,DVD_ReleaseDate
D Block: The CD/DVD Mixtape (DVD/CD Combo),Music,7/11/2006
D C Dutta's Textbook Of Gynecology (Book w/ DVD),Special Interest,5/1/2014
D C Dutta's Textbook Of Obstetrics (Book w/ DVD),Special Interest,5/1/2014
"D Gray-Man: Season 2, Part 2",Anime,1/5/2010
D Is For Decisions,Special Interest,2/12/2008
D Is For Decisions Be A Smart Consumer,Special Interest,9/28/2010
D Underworld Badhshah,Foreign,11/16/2006
D'Agostino,Drama,4/23/2013
D'Agostino (Blu-ray),Drama,4/23/2013
D'Albert: Tiefland: Franz Welser-Most,Opera,2/24/2009
D'Angelo: The Best So Far (DVD/CD Combo),Music,6/24/2008
D'Annunzio's Cave (Special Edition),Foreign,1/29/2008
"D'Em Up, Vol. 1",Special Interest,6/7/2005
D'espairsRay: Horizon (DVD/CD Combo),Music,1/6/2009
D'espairsRay: Kamikaze (DVD/CD Combo),Music,1/6/2009
D'espairsRay: Redeemer (DVD/CD Combo),Music,1/6/2009
D'EspairsRay: Spiral Staircase #15 Final,Music,4/22/2008
D'Myna Leagues (Seedsman Group): Birth Of D' Birds,Animation,6/7/2011
D'Myna Leagues (Seedsman Group): Collection,Animation,9/6/2011
D'Myna Leagues (Seedsman Group): Golden Boy / On The Road,Animation,6/7/2011
D'Myna Leagues (Seedsman Group): Psych Out / Mungomania,Animation,6/7/2011
D'Myna Leagues (Trinity Home Entertainment): Birth Of D' Birds,Animation,4/26/2005
D'Myna Leagues (Trinity Home Entertainment): Psych Out / Mungomania,Animation,4/26/2005
D'Myna Leagues (Trinity Home Entertainment): The Golden Boy / On The Road,Animation,4/26/2005
D's Hip-Hop Aerobics 1,Exercise,1/31/2006
D's Hip-Hop Aerobics 2,Exercise,1/31/2006
D-Day (Special Commemorative Edition/ DVD/CD Combo),Music,5/11/2004
D-Day 360,Documentary,7/8/2014
D-Day In Colour,Documentary,5/25/2004
D-Day Remembered (1994),Documentary,7/5/2003
D-Day Remembered (UNK/ Blu-ray w/ Book),Documentary,5/6/2014
"D-Day Remembered: From The Invasion To The Liberation Of Paris, June 6, 1944 (Book w/ DVD)",Special Interest,4/1/2014
D-Day To Berlin,Documentary,7/19/2005
D-Day: 60 Years Anniversary Commemorative Edition (Entertainment Distributing/ 3-Disc),Documentary,2/25/2004
D-Day: 60 Years Anniversary Commemorative Edition (Madacy/ 2-Disc),Documentary,5/18/2004
D-Day: 70th Anniversary Collection (2-Disc),Documentary,5/13/2014
D-Day: Code Name Overlord,Documentary,2/27/2007
D-Day: Code Name Overlord (Blu-ray),Documentary,10/19/2010
D-Day: Code Name Overlord (Old Version),Documentary,3/15/2000
D-Day: Down To Earth: Return Of The 507th,Documentary,5/11/2004
D-Day: Down To Earth: Return Of The 507th (dist. by Paramount),Documentary,5/11/2004
D-Day: Down To Earth: Return Of The 507th (dist. by Paramount/ Checkpoint),Documentary,5/11/2004
D-Day: Normandy Invasion,Documentary,8/28/2007
D-Day: Reflections Of Courage,Documentary,11/2/2004
D-Day: Remembered: True Glory / Winning Your Wings / Daffy The Commando / Jungle Drums / Secret Agent / ...,Documentary,3/21/2006
D-Day: Remembered: True Glory / Winning Your Wings / Daffy The Commando / Jungle Drums / Secret Agent / ... (Old Version),Documentary,6/29/2004
D-Day: The American Way,Documentary,1/1/2005
D-Day: The Battle That Liberated The World,Documentary,6/10/2003
D-Day: The Normandy Invasion (2-Disc/ Tin Box),Documentary,11/13/2007
D-Day: The Price Of Freedom (On Demand DVD-R),Documentary,6/4/2013
D-Day: The Sixth Of June,War,5/23/2007
D-Day: The Sixth Of June (Old Version),Documentary,5/21/2002
D-Fuse: D-Fuse Retrospective 2002,Special Interest,1/31/2002
"D-PAN: It's Everybody's Music, Vol. 1",Special Interest,1/13/2009
D-Shot: Bosses In The Booth,Music,5/31/2005
D-Styles Featuring The Beat Junkies: A Night At The Knitting Factory,Music,2/17/2004
D. C. Cab,Comedy,3/1/2005
D. Gray-Man: Season 1,Anime,8/10/2010
D. Gray-Man: Season 1 (Super Amazing Value Edition),Anime,12/27/2011
"D. Gray-Man: Season 1, Part 1",Anime,3/31/2009
"D. Gray-Man: Season 1, Part 1 (Blu-ray)",Anime,1/5/2010
"D. Gray-Man: Season 1, Part 2",Anime,6/23/2009
"D. Gray-Man: Season 1, Part 2 (Blu-ray)",Anime,4/13/2010
D. Gray-Man: Season 2,Anime,3/15/2011
D. Gray-Man: Season 2 (Super Amazing Value Edition),Anime,5/15/2012
"D. Gray-Man: Season 2, Part 1",Anime,10/6/2009
D.A. Levy & The Cleveland Mimeograph Revolution: A Double DVD,Special Interest,1/21/2006
D.A. Levy & The Mimeograph Revolution (Book w/ DVD),Special Interest,4/1/2007
D.A.R.Y.L. (Paramount),Family,10/19/2004
D.A.R.Y.L. (Paramount/ Checkpoint),Family,10/19/2004
D.A.R.Y.L. (Paramount/ I Love The 80's),Family,8/5/2008
D.A.R.Y.L. (Paramount/ I Love The 80's/ Checkpoint),Family,8/5/2008
D.A.R.Y.L. (Paramount/ Value Edition),Family,5/12/2009
D.A.R.Y.L. (Warner Brothers Digital Dist./ Archive Collection/ On Demand DVD-R),Family,11/12/2013
D.C. Escorts Hard At Work,Late Night,8/10/2010
D.C. Sniper,Action/Adventure,12/21/2010
D.C. Sniper (Blu-ray),Action/Adventure,12/21/2010
D.C. Sniper (Old Version),Action/Adventure,3/16/2010
D.E.A.: Detroit: Season 1,TV Classics,2/10/2009
D.E.A.: Detroit: Season 1 (Checkpoint),TV Classics,2/10/2009
D.E.B.S. (Columbia/Tri-Star),Action/Comedy,6/7/2005
D.E.B.S. (Mill Creek Entertainment) / Charm School (Ninas Mal) / Feel The Noise / S Club: Seeing Double,VAR,11/6/2012
D.H. Lawrence: Classic Literature,Documentary,5/25/2010
D.H. Lawrence: The Rainbow / The Widowing Of Mrs. Holroyd,Drama,8/19/2008
D.I. (Archive Collection/ On Demand DVD-R),Action/Adventure,3/23/2009
D.I.: Suburbia Sessions 1983,Music,7/8/2008
D.I.Y. Or Die: How To Survive As An Independent Artist,Special Interest,1/28/2003
D.J. Nelson Presents: Flow Music Video Collection 1997 - 2003,Music,11/23/2004
